Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Melano Cream,Fluocinolone + Hydroquinone + Tretinoin,"Square Pharmaceuticals PLC, Pabna",Cream,.01 gm + 4 gm + .05 gm/100 gm,,,,,,,
Alice 6,Ivermectin,"Square Pharmaceuticals PLC, Pabna",Tablet,6 mg,,,,,,,
Maxcef,Cefotaxime,"Square Pharmaceuticals PLC, Pabna",IV/IM Injection,1 gm/vial,,,,,,,
Alarid,Ketotifen,"Square Pharmaceuticals PLC, Pabna",Syrup,1 mg/5 ml,,,,,,,
Loracef,Cefaclor,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,125 mg/1.25 ml,,,,,,,
Osiden,Adenosine,"Square Pharmaceuticals PLC, Pabna",Injection,6 mg/2ml,,,,,,,
Saltoral,Dextrose Anhydrous + Potassium Chloride + Sodium Chloride + Trisodium Citrate,"Square Pharmaceuticals PLC, Pabna",Oral Saline,10 gm + 750 gm + 1.75 gm + 1.45 gm/500 ml,,,,,,,
Flonaspray Max,Fluticasone Propionate,"Square Pharmaceuticals PLC, Pabna",Nasal Spray,93 mcg,,,,,,,
Flasocozy,Fluticasone Propionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,500 mcg/Metered Inhalation,,,,,,,
Hivarif,Lamivudine,"Square Pharmaceuticals PLC, Pabna",Syrup,50 mg/5 ml,,,,,,,
Suzyme,Pancreatin,"Square Pharmaceuticals PLC, Pabna",Tablet,325 mg,,,,,,,
Inox,Linezolid,"Square Pharmaceuticals PLC, Pabna",Tablet,600 mg,,,,,,,
Alice 12,Ivermectin,"Square Pharmaceuticals PLC, Pabna",Tablet,12 mg,,,,,,,
Loracef,Cefaclor,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,125 mg/5 ml,,,,,,,
Cevit Gum,Vitamin C,"Square Pharmaceuticals PLC, Pabna",Gum,125 mg,,,,,,,
Dimi,Sulphadimidine,"Square Pharmaceuticals PLC, Pabna",Injection,33.3 gm/100 ml,,,,,,,
Loracef,Cefaclor,"Square Pharmaceuticals PLC, Pabna",Capsule,250 mg,,,,,,,
Loracef,Cefaclor,"Square Pharmaceuticals PLC, Pabna",Capsule,500 mg,,,,,,,
